date,value
1878-01-01,
1878-02-01,
1878-03-01,
1878-04-01,
1878-05-01,
1878-06-01,0.176
1878-07-01,0.179
1878-08-01,0.181
1878-09-01,0.184
1878-10-01,0.189
1878-11-01,0.192
1878-12-01,0.195
1879-01-01,0.198
1879-02-01,0.201
1879-03-01,0.204
1879-04-01,0.206
1879-05-01,0.208
1879-06-01,0.21
1879-07-01,0.212
1879-08-01,0.221
1879-09-01,0.251
1879-10-01,0.273
1879-11-01,0.293
1879-12-01,0.302
1880-01-01,0.305
1880-02-01,0.307
1880-03-01,0.308
1880-04-01,0.311
1880-05-01,0.313
1880-06-01,0.316
1880-07-01,0.318
1880-08-01,0.33
1880-09-01,0.351
1880-10-01,0.369
1880-11-01,0.38
1880-12-01,0.399
1881-01-01,0.406
1881-02-01,0.408
1881-03-01,0.418
1881-04-01,0.435
1881-05-01,0.437
1881-06-01,0.439
1881-07-01,0.442
1881-08-01,0.449
1881-09-01,0.462
1881-10-01,0.472
1881-11-01,0.476
1881-12-01,0.481
1882-01-01,0.484
1882-02-01,0.479
1882-03-01,0.478
1882-04-01,0.478
1882-05-01,0.467
1882-06-01,0.463
1882-07-01,0.461
1882-08-01,0.462
1882-09-01,0.464
1882-10-01,0.471
1882-11-01,0.474
1882-12-01,0.479
1883-01-01,0.482
1883-02-01,0.484
1883-03-01,0.49
1883-04-01,0.493
1883-05-01,0.494
1883-06-01,0.497
1883-07-01,0.498
1883-08-01,0.501
1883-09-01,0.505
1883-10-01,0.511
1883-11-01,0.517
1883-12-01,0.519
1884-01-01,0.521
1884-02-01,0.52
1884-03-01,0.51
1884-04-01,0.494
1884-05-01,0.495
1884-06-01,0.499
1884-07-01,0.502
1884-08-01,0.506
1884-09-01,0.51
1884-10-01,0.514
1884-11-01,0.524
1884-12-01,0.528
1885-01-01,0.531
1885-02-01,0.533
1885-03-01,0.536
1885-04-01,0.538
1885-05-01,0.539
1885-06-01,0.541
1885-07-01,0.541
1885-08-01,0.543
1885-09-01,0.548
1885-10-01,0.551
1885-11-01,0.558
1885-12-01,0.564
1886-01-01,0.565
1886-02-01,0.561
1886-03-01,0.554
1886-04-01,0.552
1886-05-01,0.547
1886-06-01,0.541
1886-07-01,0.542
1886-08-01,0.549
1886-09-01,0.556
1886-10-01,0.564
1886-11-01,0.575
1886-12-01,0.588
1887-01-01,0.594
1887-02-01,0.595
1887-03-01,0.596
1887-04-01,0.598
1887-05-01,0.602
1887-06-01,0.601
1887-07-01,0.605
1887-08-01,0.61
1887-09-01,0.628
1887-10-01,0.64
1887-11-01,0.644
1887-12-01,0.65
1888-01-01,0.651
1888-02-01,0.653
1888-03-01,0.654
1888-04-01,0.656
1888-05-01,0.651
1888-06-01,0.651
1888-07-01,0.65
1888-08-01,0.652
1888-09-01,0.655
1888-10-01,0.657
1888-11-01,0.655
1888-12-01,0.65
1889-01-01,0.651
1889-02-01,0.651
1889-03-01,0.65
1889-04-01,0.651
1889-05-01,0.643
1889-06-01,0.625
1889-07-01,0.621
1889-08-01,0.625
1889-09-01,0.627
1889-10-01,0.629
1889-11-01,0.631
1889-12-01,0.635
1890-01-01,0.636
1890-02-01,0.637
1890-03-01,0.638
1890-04-01,0.639
1890-05-01,0.641
1890-06-01,0.64
1890-07-01,0.636
1890-08-01,0.633
1890-09-01,0.637
1890-10-01,0.638
1890-11-01,0.642
1890-12-01,0.647
1891-01-01,0.649
1891-02-01,0.648
1891-03-01,0.643
1891-04-01,0.63
1891-05-01,0.602
1891-06-01,0.587
1891-07-01,0.584
1891-08-01,0.586
1891-09-01,0.591
1891-10-01,0.609
1891-11-01,0.616
1891-12-01,0.624
1892-01-01,0.628
1892-02-01,0.626
1892-03-01,0.624
1892-04-01,0.616
1892-05-01,0.615
1892-06-01,0.598
1892-07-01,0.592
1892-08-01,0.588
1892-09-01,0.585
1892-10-01,0.589
1892-11-01,0.59
1892-12-01,0.583
1893-01-01,0.572
1893-02-01,0.557
1893-03-01,0.556
1893-04-01,0.542
1893-05-01,0.532
1893-06-01,0.519
1893-07-01,0.53
1893-08-01,0.571
1893-09-01,0.582
1893-10-01,0.585
1893-11-01,0.589
1893-12-01,0.589
1894-01-01,0.591
1894-02-01,0.595
1894-03-01,0.593
1894-04-01,0.588
1894-05-01,0.564
1894-06-01,0.547
1894-07-01,0.538
1894-08-01,0.535
1894-09-01,0.541
1894-10-01,0.542
1894-11-01,0.546
1894-12-01,0.54
1895-01-01,0.518
1895-02-01,0.521
1895-03-01,0.532
1895-04-01,0.535
1895-05-01,0.543
1895-06-01,0.547
1895-07-01,0.551
1895-08-01,0.539
1895-09-01,0.522
1895-10-01,0.527
1895-11-01,0.518
1895-12-01,0.505
1896-01-01,0.505
1896-02-01,0.518
1896-03-01,0.522
1896-04-01,0.526
1896-05-01,0.509
1896-06-01,0.502
1896-07-01,0.496
1896-08-01,0.504
1896-09-01,0.541
1896-10-01,0.57
1896-11-01,0.583
1896-12-01,0.589
1897-01-01,0.594
1897-02-01,0.599
1897-03-01,0.601
1897-04-01,0.603
1897-05-01,0.597
1897-06-01,0.591
1897-07-01,0.591
1897-08-01,0.597
1897-09-01,0.607
1897-10-01,0.623
1897-11-01,0.632
1897-12-01,0.638
1898-01-01,0.644
1898-02-01,0.65
1898-03-01,0.684
1898-04-01,0.725
1898-05-01,0.747
1898-06-01,0.754
1898-07-01,0.759
1898-08-01,0.772
1898-09-01,0.789
1898-10-01,0.812
1898-11-01,0.823
1898-12-01,0.836
1899-01-01,0.845
1899-02-01,0.851
1899-03-01,0.858
1899-04-01,0.864
1899-05-01,0.869
1899-06-01,0.859
1899-07-01,0.861
1899-08-01,0.873
1899-09-01,0.882
1899-10-01,0.896
1899-11-01,0.899
1899-12-01,0.897
1900-01-01,0.904
1900-02-01,0.906
1900-03-01,0.914
1900-04-01,0.924
1900-05-01,0.922
1900-06-01,0.916
1900-07-01,0.933
1900-08-01,0.928
1900-09-01,0.938
1900-10-01,0.959
1900-11-01,0.977
1900-12-01,0.987
1901-01-01,0.99
1901-02-01,0.995
1901-03-01,1.001
1901-04-01,1.006
1901-05-01,1.001
1901-06-01,1.001
1901-07-01,1.012
1901-08-01,1.024
1901-09-01,1.036
1901-10-01,1.05
1901-11-01,1.047
1901-12-01,1.051
1902-01-01,1.056
1902-02-01,1.053
1902-03-01,1.053
1902-04-01,1.058
1902-05-01,1.059
1902-06-01,1.067
1902-07-01,1.068
1902-08-01,1.078
1902-09-01,1.089
1902-10-01,1.104
1902-11-01,1.115
1902-12-01,1.12
1903-01-01,1.126
1903-02-01,1.131
1903-03-01,1.135
1903-04-01,1.14
1903-05-01,1.134
1903-06-01,1.122
1903-07-01,1.128
1903-08-01,1.14
1903-09-01,1.149
1903-10-01,1.154
1903-11-01,1.17
1903-12-01,1.187
1904-01-01,1.199
1904-02-01,1.209
1904-03-01,1.22
1904-04-01,1.223
1904-05-01,1.184
1904-06-01,1.198
1904-07-01,1.212
